event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
austria_2026_R_00241,austria_2026_R,BEA,HUL,2026-06-28 13:19:39.654,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.33222222222224,5.84,-98.50777777777694,False,11.377777777777794,False,False,,,,,,False,170.0,52.17228260871027,True,False,2026-06-28 13:20:09.654,30.0,120.0,False,False,False
austria_2026_R_00242,austria_2026_R,LIN,LAW,2026-06-28 13:19:40.694,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",86.93583333333368,5.16,-86.96972222222394,False,10.699999999999818,False,False,,,,,,False,79.0,178.7691489361701,True,False,2026-06-28 13:20:10.694,30.0,120.0,False,False,False
austria_2026_R_00243,austria_2026_R,ALB,SAI,2026-06-28 13:19:42.814,14,PIT_RELATED,attacker or target on a box lap at t0,95.20972222222227,5.08,-95.15444444444438,False,13.500000000000028,False,False,,,69.36,69.36,69.36,True,132.0,154.761734693887,False,False,2026-06-28 13:20:12.814,30.0,120.0,True,True,False
austria_2026_R_00244,austria_2026_R,GAS,STR,2026-06-28 13:19:53.255,14,PIT_RELATED,attacker or target on a box lap at t0,13.003611111111155,6.119,-13.00361111111124,False,8.722222222222229,False,False,,,93.4,,,False,221.0,,False,False,2026-06-28 13:20:23.255,30.0,120.0,True,True,False
austria_2026_R_00245,austria_2026_R,LEC,BOR,2026-06-28 13:20:04.534,14,PIT_RELATED,attacker or target on a box lap at t0,89.61027777777781,3.6,-89.81416666666337,False,13.666666666666515,False,False,,,58.08,,,False,115.0,198.94871794871767,False,False,2026-06-28 13:20:34.534,30.0,120.0,True,True,False
austria_2026_R_00246,austria_2026_R,STR,ALO,2026-06-28 13:20:06.935,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",94.66500000000065,8.319,-94.70611111111066,False,21.02805555555551,False,False,,,,,,False,161.0,66.30961434003186,True,False,2026-06-28 13:20:36.935,30.0,120.0,False,False,False
austria_2026_R_00247,austria_2026_R,ANT,VER,2026-06-28 13:20:08.694,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.18749999999773,7.4,-98.02138888888294,False,10.686388888888814,False,False,,,,,,False,208.0,48.52628892292102,True,False,2026-06-28 13:20:38.694,30.0,120.0,False,False,False
austria_2026_R_00248,austria_2026_R,BEA,HUL,2026-06-28 13:20:10.094,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",93.78416666666772,5.16,-93.9597222222219,False,10.04444444444448,False,False,,,,,,False,122.0,113.06122448979526,True,False,2026-06-28 13:20:40.094,30.0,120.0,False,False,False
austria_2026_R_00249,austria_2026_R,ALB,SAI,2026-06-28 13:20:13.055,14,PIT_RELATED,attacker or target on a box lap at t0,74.16916666666702,5.239,-74.11388888888905,False,7.1111111111108585,False,False,,,39.119,39.119,39.119,True,109.0,94.75193337299235,False,False,2026-06-28 13:20:43.055,30.0,120.0,True,True,False
austria_2026_R_00250,austria_2026_R,NOR,PIA,2026-06-28 13:20:15.254,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.80416666666588,8.44,-95.8041666666686,False,7.466666666666242,False,False,,,,,,False,202.0,42.17608804402166,True,False,2026-06-28 13:20:45.254,30.0,120.0,False,False,False
austria_2026_R_00251,austria_2026_R,HAD,NOR,2026-06-28 13:20:16.694,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.19194444444202,8.44,-98.16388888888469,False,7.5,False,False,,,,,,False,199.0,45.98000000000047,True,False,2026-06-28 13:20:46.694,30.0,120.0,False,False,False
austria_2026_R_00252,austria_2026_R,HAM,LIN,2026-06-28 13:20:41.974,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 88.6 s after t0, outside it",95.83666666666664,4.921,-95.80777777777257,False,13.222222222222229,False,False,,,72.841,88.64,88.64,True,129.0,131.23532414498166,True,False,2026-06-28 13:21:11.974,30.0,120.0,False,False,False
austria_2026_R_00253,austria_2026_R,ANT,VER,2026-06-28 13:20:52.335,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.82694444444405,7.2,-96.79361111111939,False,9.466666666666924,False,False,,,,,,False,169.0,57.49609578344588,True,False,2026-06-28 13:21:22.335,30.0,120.0,False,False,False
austria_2026_R_00254,austria_2026_R,STR,ALO,2026-06-28 13:20:52.935,14,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",99.22361111111013,7.84,-99.26472222222219,False,5.700000000000273,False,False,,,,,,False,189.0,59.36948431685147,True,False,2026-06-28 13:21:22.935,30.0,120.0,False,False,False
austria_2026_R_00255,austria_2026_R,LIN,LAW,2026-06-28 13:20:54.815,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",92.79944444444459,4.48,-92.87972222222015,False,10.902499999999918,False,False,,,,,,False,81.0,177.34042553191486,True,False,2026-06-28 13:21:24.815,30.0,120.0,False,False,False
austria_2026_R_00256,austria_2026_R,SAI,COL,2026-06-28 13:20:55.454,14,PIT_RELATED,attacker or target on a box lap at t0,20.240277777778374,4.361,-20.34027777778101,False,89.77861111111208,False,False,,,,,,False,267.0,-187.9999999999973,False,False,2026-06-28 13:21:25.454,30.0,120.0,True,True,False
austria_2026_R_00257,austria_2026_R,BEA,HUL,2026-06-28 13:20:55.934,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",87.4433333333333,3.601,-87.45694444444234,False,7.717499999999973,False,False,,,,,,False,111.0,146.5263157894737,True,False,2026-06-28 13:21:25.934,30.0,120.0,False,False,False
austria_2026_R_00258,austria_2026_R,GAS,STR,2026-06-28 13:20:57.174,14,PIT_RELATED,attacker or target on a box lap at t0,99.81916666666348,6.2,-99.81916666666075,False,9.244444444444525,True,False,2026-06-28 13:21:26.655,29.481,29.481,107.641,107.641,True,198.0,96.67441860465208,False,False,2026-06-28 13:21:27.174,30.0,120.0,True,True,False
austria_2026_R_00259,austria_2026_R,ALB,BEA,2026-06-28 13:20:58.174,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",97.45833333333331,3.201,-97.45833333333576,False,8.333333333333314,False,False,,,,,,False,114.0,146.89361702127658,True,False,2026-06-28 13:21:28.174,30.0,120.0,False,False,False
austria_2026_R_00260,austria_2026_R,BOR,HAM,2026-06-28 13:20:58.895,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",90.54388888888866,4.839,-90.41277777777577,False,10.0,False,False,,,,,,False,83.0,180.6188262637998,True,False,2026-06-28 13:21:28.895,30.0,120.0,False,False,False
austria_2026_R_00261,austria_2026_R,HAD,NOR,2026-06-28 13:21:01.615,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.54666666666662,6.6,-96.52527777777868,False,14.758888888889032,False,False,,,,,,False,128.0,125.42222222222289,True,False,2026-06-28 13:21:31.615,30.0,120.0,False,False,False
austria_2026_R_00262,austria_2026_R,SAI,STR,2026-06-28 13:21:08.215,15,PIT_RELATED,attacker or target on a box lap at t0,10.33999999999999,3.159,-10.356388888889342,False,15.088888888888889,False,False,,,,,,False,282.0,-202.00000000000026,False,False,2026-06-28 13:21:38.215,30.0,120.0,True,True,False
austria_2026_R_00263,austria_2026_R,GAS,SAI,2026-06-28 13:21:11.534,15,PIT_RELATED,attacker or target on a box lap at t0,99.30472222222231,5.56,-99.25222222221782,False,19.438333333333333,True,True,2026-06-28 13:21:14.175,2.641,2.641,2.641,2.641,False,80.0,219.73333333333335,False,False,2026-06-28 13:21:41.534,30.0,120.0,True,True,False
austria_2026_R_00264,austria_2026_R,COL,ALB,2026-06-28 13:21:15.055,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.70722222222207,4.96,-96.68305555555708,False,11.873888888889041,False,False,,,,,,False,90.0,174.91304347826016,True,False,2026-06-28 13:21:45.055,30.0,120.0,False,False,False
austria_2026_R_00265,austria_2026_R,STR,ALO,2026-06-28 13:21:23.014,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",90.80861111111108,9.921,-90.79611111110717,False,14.799999999999955,False,False,,,,,,False,163.0,77.06013837147438,True,False,2026-06-28 13:21:53.014,30.0,120.0,False,False,False
austria_2026_R_00266,austria_2026_R,GAS,STR,2026-06-28 13:21:27.415,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 77.4 s after t0, outside it",94.08138888888902,3.399,-94.04527777777548,False,9.444444444444343,False,False,,,59.04,77.4,77.4,True,66.0,190.51063829787202,True,False,2026-06-28 13:21:57.415,30.0,120.0,False,False,False
austria_2026_R_00267,austria_2026_R,NOR,PIA,2026-06-28 13:21:28.814,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.45611111111157,7.84,-95.47861111111706,False,8.0,False,False,,,,,,False,198.0,47.51352730985266,True,False,2026-06-28 13:21:58.814,30.0,120.0,False,False,False
austria_2026_R_00268,austria_2026_R,ANT,VER,2026-06-28 13:21:36.414,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.91722222222228,5.401,-95.89861111111531,False,9.200000000000017,False,False,,,,,,False,158.0,113.70622671634735,True,False,2026-06-28 13:22:06.414,30.0,120.0,False,False,False
austria_2026_R_00269,austria_2026_R,SAI,GAS,2026-06-28 13:21:45.215,15,PIT_RELATED,attacker or target on a box lap at t0,87.82416666666654,4.559,-87.87666666666337,False,17.355555555555384,False,False,,,,,,False,94.0,186.17178552837177,False,False,2026-06-28 13:22:15.215,30.0,120.0,True,True,False
austria_2026_R_00270,austria_2026_R,HAD,NOR,2026-06-28 13:21:45.975,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",93.77694444444444,3.999,-93.66583333333256,False,9.900000000000006,False,False,,,,,,False,129.0,126.42344650864835,True,False,2026-06-28 13:22:15.975,30.0,120.0,False,False,False
austria_2026_R_00271,austria_2026_R,GAS,STR,2026-06-28 13:21:58.735,15,UNCERTAIN,"only one of the two order-change signals fired (distance=True, driver_ahead=False)",97.52222222222417,3.959,-97.48611111112405,False,11.964166666667097,True,False,2026-06-28 13:22:26.455,27.72,27.72,46.08,46.08,True,168.0,6.1738908720040655,True,False,2026-06-28 13:22:28.735,30.0,120.0,False,False,False
austria_2026_R_00272,austria_2026_R,STR,ALO,2026-06-28 13:22:08.415,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.73277777777685,8.519,-95.72027777777112,False,5.955555555555748,False,False,,,109.08,,,False,192.0,42.1020408163261,True,False,2026-06-28 13:22:38.415,30.0,120.0,False,False,False
austria_2026_R_00273,austria_2026_R,BEA,HUL,2026-06-28 13:22:10.814,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",92.91083333333336,3.761,-93.0625,False,6.444444444444457,False,False,,,,,,False,111.0,155.62533985861876,True,False,2026-06-28 13:22:40.814,30.0,120.0,False,False,False
austria_2026_R_00274,austria_2026_R,NOR,PIA,2026-06-28 13:22:12.535,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.96027777777795,8.24,-98.98722222223296,False,10.266666666666424,False,False,,,,,,False,200.0,34.752212389379494,True,False,2026-06-28 13:22:42.535,30.0,120.0,False,False,False
austria_2026_R_00275,austria_2026_R,ALB,BEA,2026-06-28 13:22:13.055,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",94.33694444444438,3.239,-94.33694444445428,False,6.2222222222222285,False,False,,,,,,False,116.0,142.50000000000003,True,False,2026-06-28 13:22:43.055,30.0,120.0,False,False,False
austria_2026_R_00276,austria_2026_R,BOR,LIN,2026-06-28 13:22:13.335,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.86027777777804,3.599,-95.89166666667734,False,9.799999999999955,False,False,,,,,,False,56.0,215.1458333333333,True,False,2026-06-28 13:22:43.335,30.0,120.0,False,False,False
austria_2026_R_00277,austria_2026_R,LIN,HAM,2026-06-28 13:22:14.295,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",10.128333333331966,31.8,-10.11083333332499,False,10.51111111111095,False,False,,,,,,False,87.0,-9.879999999999473,True,False,2026-06-28 13:22:44.295,30.0,120.0,False,False,False
austria_2026_R_00278,austria_2026_R,LEC,BOR,2026-06-28 13:22:15.934,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 116.7 s after t0, outside it",99.82333333333372,4.561,-99.80444444443856,False,8.86666666666656,False,False,,,89.041,116.681,116.681,True,74.0,191.14316125598714,True,False,2026-06-28 13:22:45.934,30.0,120.0,False,False,False
austria_2026_R_00279,austria_2026_R,ANT,VER,2026-06-28 13:22:16.934,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.21250000000009,3.841,-98.19388888889807,False,5.33333333333303,False,False,,,,,,False,170.0,49.71311893823356,True,False,2026-06-28 13:22:46.934,30.0,120.0,False,False,False
austria_2026_R_00280,austria_2026_R,COL,ALB,2026-06-28 13:22:30.214,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.18499999999995,4.361,-96.1833333333343,False,12.95555555555552,False,False,,,,,,False,83.0,181.01150575287662,True,False,2026-06-28 13:23:00.214,30.0,120.0,False,False,False
austria_2026_R_00281,austria_2026_R,STR,ALO,2026-06-28 13:22:39.095,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",84.35555555555561,5.28,-84.30333333332965,False,11.888888888888914,False,False,,,78.04,,,False,137.0,89.93778684344717,True,False,2026-06-28 13:23:09.095,30.0,120.0,False,False,False
austria_2026_R_00282,austria_2026_R,STR,GAS,2026-06-28 13:22:47.535,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",10.0752777777775,30.48,-10.036111111112405,False,7.733333333333576,False,False,,,,,,False,192.0,-14.079999999999746,True,False,2026-06-28 13:23:17.535,30.0,120.0,False,False,False
austria_2026_R_00283,austria_2026_R,ANT,VER,2026-06-28 13:22:49.495,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.21111111111108,4.6,-96.1791666666686,False,9.294444444444451,False,False,,,,,,False,131.0,142.10255102041015,True,False,2026-06-28 13:23:19.495,30.0,120.0,False,False,False
austria_2026_R_00284,austria_2026_R,OCO,HUL,2026-06-28 13:22:53.615,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",10.033888888889123,157.96,-10.130555555559113,False,18.40000000000009,False,False,,,,,,False,166.0,-6.916666666666629,True,False,2026-06-28 13:23:23.615,30.0,120.0,False,False,False
austria_2026_R_00285,austria_2026_R,GAS,ALO,2026-06-28 13:22:53.775,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 48.4 s after t0, outside it",96.38777777777773,47.92,-96.3747222222155,False,17.92694444444662,False,False,,,43.2,48.36,48.36,True,205.0,49.31914893617049,True,False,2026-06-28 13:23:23.775,30.0,120.0,False,False,False
austria_2026_R_00286,austria_2026_R,NOR,PIA,2026-06-28 13:22:57.375,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",84.50305555555559,5.04,-84.50305555555678,False,8.599999999999994,False,False,,,,,,False,147.0,103.95372340426216,True,False,2026-06-28 13:23:27.375,30.0,120.0,False,False,False
austria_2026_R_00287,austria_2026_R,LEC,BOR,2026-06-28 13:22:59.855,16,PIT_RELATED,a pit stop occurred inside the outcome window,97.53555555555613,6.32,-97.51666666666279,False,11.00500000000011,False,False,,,45.12,72.76,72.76,True,194.0,66.08000000000102,True,False,2026-06-28 13:23:29.855,30.0,120.0,False,True,False
austria_2026_R_00288,austria_2026_R,HAM,LAW,2026-06-28 13:23:07.175,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon; the pair did swap 86.2 s after t0, outside it",90.77694444444447,4.64,-90.81416666666337,False,6.800000000000011,False,False,,,72.08,86.24,86.24,True,124.0,144.71428571428564,True,False,2026-06-28 13:23:37.175,30.0,120.0,False,False,False
austria_2026_R_00289,austria_2026_R,BEA,OCO,2026-06-28 13:23:10.655,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.63527777777881,6.64,-98.69027777777228,False,5.599999999999909,False,False,,,105.601,,,False,180.0,74.29146341463553,True,False,2026-06-28 13:23:40.655,30.0,120.0,False,False,False
austria_2026_R_00290,austria_2026_R,HAD,NOR,2026-06-28 13:23:14.095,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.94833333333281,5.12,-98.94833333331917,False,11.111111111111313,False,False,,,,,,False,95.0,158.83333333333334,True,False,2026-06-28 13:23:44.095,30.0,120.0,False,False,False
