event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,horizon_end_time,horizon_s_effective,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,actual_swap_delay_s,pass_after_horizon,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,zone_type,track_position_frac,circuit_length_m,corner_count,longest_straight_m,n_long_straights_over_500m,pair_id,cluster_id,reciprocal_event_id,window_crosses_start_finish,detector_version
china_2026_R_00808,china_2026_R,2026,Chinese Grand Prix,HAM,ANT,12,2026-03-15 07:32:04.416,2026-03-15 07:32:17.696,13.28,9.48,2026-03-15 07:32:34.416,30.0,16,40,11.648888888888223,0.27409150326795817,11.648888888888223,153.0,190.0,-37.0,-36.87999999999948,1.0,True,2.0,1.0,1630.2713888888895,straight_04,405.36052396023,465.36052396023,HARD,6.0,2.0,0.9959796392931978,21167.269952110913,6012.925168664959,400.0,False,1,False,ON_TRACK_PASS,1.0,13.56,False,0.0,176.24346246973448,-23.24346246973448,0.223536,True,0.223536,-26.07880469045583,12,True,3.0,straight,0.2828997584713966,5762.717499999997,16,1195.733389239927,2,china_2026_R|ANT|HAM,china_2026_R|L16|china_2026_R|ANT|HAM,,False,v4_t0_anchored_30s_horizon
china_2026_R_00809,china_2026_R,2026,Chinese Grand Prix,HUL,OCO,31,2026-03-15 07:32:04.776,2026-03-15 07:32:08.696,3.92,3.92,2026-03-15 07:32:34.776,30.0,16,14,84.09500000000116,1.3395663716814346,45.92361111111245,226.0,72.0,154.0,,,False,10.0,6.0,1462.713888888888,brake_T6,106.51556590236328,166.51556590236328,HARD,16.0,1.0,0.9785624225818139,13920.80207757932,48936.775383610686,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,92.44,True,1.0,219.7413834951478,6.258616504852199,2.562145,True,2.562145,148.28282585286655,13,True,3.0,brake,0.25382363249437245,5762.717499999997,16,1195.733389239927,2,china_2026_R|HUL|OCO,china_2026_R|L16|china_2026_R|HUL|OCO,,False,v4_t0_anchored_30s_horizon
china_2026_R_00810,china_2026_R,2026,Chinese Grand Prix,VER,BEA,87,2026-03-15 07:32:06.536,2026-03-15 07:32:12.856,6.32,6.32,2026-03-15 07:32:36.536,30.0,16,18,23.715000000000373,0.505171597633144,10.937222222222545,169.0,91.0,78.0,,,False,11.0,7.0,1489.3038888888884,brake_T6,79.9255659023629,139.9255659023629,HARD,7.0,2.0,0.956571830889762,15167.293801665151,38903.0644092546,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,39.521,True,0.0,148.21021021021252,20.789789789787477,0.862261,True,0.862261,71.8903055377136,14,True,3.0,brake,0.25843777504083604,5762.717499999997,16,1195.733389239927,2,china_2026_R|BEA|VER,china_2026_R|L16|china_2026_R|BEA|VER,,False,v4_t0_anchored_30s_horizon
china_2026_R_00811,china_2026_R,2026,Chinese Grand Prix,OCO,RUS,63,2026-03-15 07:32:08.976,2026-03-15 07:32:18.577,9.601,9.601,2026-03-15 07:32:38.976,30.0,16,34,11.252777777777283,0.20774358974358062,11.197222222221171,195.0,200.0,-5.0,-6.317073170731618,1.6400000000000001,True,6.0,4.0,1677.6680555555558,straight_04,357.9638572935637,417.9638572935637,HARD,16.0,1.0,0.9868459244377115,21239.251971037753,5161.855420976647,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,1.0,192.96607142857167,2.0339285714283335,0.19695,True,0.19695,-6.817967385865284,14,True,3.0,straight,0.29112446611439075,5762.717499999997,16,1195.733389239927,2,china_2026_R|OCO|RUS,china_2026_R|L16|china_2026_R|OCO|RUS,,False,v4_t0_anchored_30s_horizon
china_2026_R_00812,china_2026_R,2026,Chinese Grand Prix,LIN,OCO,31,2026-03-15 07:32:09.776,2026-03-15 07:32:18.577,8.801,7.92,2026-03-15 07:32:39.776,30.0,16,26,12.803611111112332,0.26338857142859656,11.975833333334776,175.0,209.0,-34.0,-51.550000000000864,0.8,True,8.0,6.0,1710.5088888888884,straight_04,325.1230239602312,385.1230239602312,HARD,16.0,1.0,0.5002938813721415,21293.13684617094,4969.76980465257,400.0000000000002,False,1,False,ON_TRACK_PASS,1.0,9.001,False,1.0,209.0,-34.0,0.225899,True,0.225899,-58.779227599125036,14,True,3.0,straight,0.2968233110314516,5762.717499999997,16,1195.733389239927,2,china_2026_R|LIN|OCO,china_2026_R|L16|china_2026_R|LIN|OCO,china_2026_R_00802,False,v4_t0_anchored_30s_horizon
china_2026_R_00813,china_2026_R,2026,Chinese Grand Prix,HUL,GAS,10,2026-03-15 07:32:09.776,2026-03-15 07:32:12.856,3.08,3.08,2026-03-15 07:32:39.776,30.0,16,12,93.43638888888995,3.1145462962963317,74.05916666666849,108.0,88.0,20.0,,,False,10.0,9.0,1616.1722222222213,corner_T6,419.45969062689824,13.05723256903002,HARD,16.0,1.0,0.9976590651947905,20688.086590297946,6424.693579463227,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,42.681,True,1.0,144.32357592156805,-36.32357592156805,3.697559,True,3.697559,5.767526285142711,14,True,3.0,corner,0.2804531407660053,5762.717499999997,16,1195.733389239927,2,china_2026_R|GAS|HUL,china_2026_R|L16|china_2026_R|GAS|HUL,,False,v4_t0_anchored_30s_horizon
china_2026_R_00814,china_2026_R,2026,Chinese Grand Prix,GAS,LIN,41,2026-03-15 07:32:10.536,2026-03-15 07:32:18.577,8.041,8.041,2026-03-15 07:32:40.536,30.0,16,25,16.99472222222107,0.5184830508474225,16.99472222222107,118.0,201.0,-83.0,-75.84210526315604,0.76,True,9.0,8.0,1733.8586111111115,straight_04,301.77330173800806,361.77330173800806,HARD,6.0,2.0,0.7829533126198527,21333.129151442863,5178.669656304492,400.0000000000002,False,1,False,ON_TRACK_PASS,1.0,19.56,False,-1.0,189.16288004422407,-71.16288004422407,0.304383,True,0.304383,-54.775738855894495,14,True,3.0,straight,0.30087517063106295,5762.717499999997,16,1195.733389239927,2,china_2026_R|GAS|LIN,china_2026_R|L16|china_2026_R|GAS|LIN,,False,v4_t0_anchored_30s_horizon
china_2026_R_00815,china_2026_R,2026,Chinese Grand Prix,RUS,COL,43,2026-03-15 07:32:11.056,2026-03-15 07:32:24.616,13.56,13.56,2026-03-15 07:32:41.056,30.0,16,44,60.71444444444478,0.9145271966527247,14.858055555555438,239.0,255.0,-16.0,,,False,4.0,5.0,1818.9430555555552,straight_04,216.6888572935643,276.6888572935643,HARD,6.0,2.0,0.2848019809084204,21149.695952439626,7775.942860563279,400.0000000000002,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,46.28,True,-2.0,247.8311491935481,-8.8311491935481,0.888104,True,0.888104,-22.461962525162196,14,True,3.0,straight,0.3156398097868855,5762.717499999997,16,1195.733389239927,2,china_2026_R|COL|RUS,china_2026_R|L16|china_2026_R|COL|RUS,,False,v4_t0_anchored_30s_horizon
china_2026_R_00816,china_2026_R,2026,Chinese Grand Prix,BEA,HAD,6,2026-03-15 07:32:13.016,2026-03-15 07:32:19.297,6.281,6.281,2026-03-15 07:32:43.016,30.0,16,23,72.36055555555527,1.0676147540983565,18.17166666666617,244.0,119.0,125.0,,,False,7.0,14.0,1784.155,straight_04,251.47691284911957,311.47691284911957,HARD,6.0,2.0,0.7211975602269872,21419.274439141627,5628.649663669025,399.9999999999998,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,-1.0,163.35071022727638,80.64928977272362,2.94217,True,2.94217,131.01459558948594,11,True,3.0,straight,0.3096030648734735,5762.717499999997,16,1195.733389239927,2,china_2026_R|BEA|HAD,china_2026_R|L16|china_2026_R|BEA|HAD,china_2026_R_00806,False,v4_t0_anchored_30s_horizon
china_2026_R_00817,china_2026_R,2026,Chinese Grand Prix,VER,HUL,27,2026-03-15 07:32:13.016,2026-03-15 07:32:19.297,6.281,6.281,2026-03-15 07:32:43.016,30.0,16,23,66.78722222222154,1.1504019138755863,65.5094444444444,209.0,228.0,-19.0,,,False,11.0,10.0,1716.5624999999995,straight_04,319.06941284912,379.06941284912,HARD,7.0,2.0,0.9611842596953544,21303.505186369966,5023.92884136547,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,,False,0.0,202.00664547030013,6.993354529699872,1.0983,True,1.0983,-33.18737803218,11,True,3.0,straight,0.2978737895793088,5762.717499999997,16,1195.733389239927,2,china_2026_R|HUL|VER,china_2026_R|L16|china_2026_R|HUL|VER,,False,v4_t0_anchored_30s_horizon
china_2026_R_00818,china_2026_R,2026,Chinese Grand Prix,HAD,GAS,10,2026-03-15 07:32:13.336,2026-03-15 07:32:20.776,7.44,7.44,2026-03-15 07:32:43.336,30.0,16,27,11.22166666666726,0.2992444444444603,11.22166666666726,135.0,241.0,-106.0,-105.99999999999994,0.32,True,14.0,9.0,1868.2777777777778,straight_04,167.35413507134172,227.35413507134172,HARD,6.0,3.0,0.8108067473703476,19051.066398963387,20394.77157036597,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,41.08,True,0.0,237.8639263485476,-102.86392634854761,0.167257,True,0.167257,-97.81995391452796,11,True,3.0,straight,0.32420082674151196,5762.717499999997,16,1195.733389239927,2,china_2026_R|GAS|HAD,china_2026_R|L16|china_2026_R|GAS|HAD,,False,v4_t0_anchored_30s_horizon
china_2026_R_00819,china_2026_R,2026,Chinese Grand Prix,HUL,HAD,6,2026-03-15 07:32:19.776,2026-03-15 07:32:23.456,3.68,3.68,2026-03-15 07:32:49.776,30.0,16,12,26.44555555555553,0.39834309623430925,26.44555555555553,239.0,212.0,27.0,,,False,10.0,14.0,2232.6108333333323,brake_T8,98.89376263453778,450.2828479489781,HARD,16.0,1.0,0.9482955484151696,5970.948082681855,52469.067916725944,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,30.28,True,1.0,224.16084019380023,14.839159806199774,0.44808,True,0.44808,-0.5106857418681139,11,True,3.0,brake,0.38742326573067887,5762.717499999997,16,1195.733389239927,2,china_2026_R|HAD|HUL,china_2026_R|L16|china_2026_R|HAD|HUL,,False,v4_t0_anchored_30s_horizon
