Driver,DriverNumber,Team,LapNumber,LapTime,Position,Stint,Compound,TyreLife,FreshTyre,PitInTime,PitOutTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackStatus,Deleted,DeletedReason,IsAccurate,FastF1Generated,IsPersonalBest,Time,LapStartTime,LapStartDate,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime
LIN,41,Racing Bulls,45.0,0 days 00:01:24.645000,8.0,2.0,HARD,27.0,True,,,0 days 00:00:29.827000,0 days 00:00:17.836000,0 days 00:00:36.982000,252.0,304.0,295.0,295.0,1,False,,True,False,False,0 days 02:08:36.893000,0 days 02:07:12.248000,2026-03-08 05:08:18.871,0 days 02:07:42.185000,0 days 02:08:00.021000,0 days 02:08:37.003000
LIN,41,Racing Bulls,46.0,0 days 00:01:24.688000,8.0,2.0,HARD,28.0,True,,,0 days 00:00:29.891000,0 days 00:00:17.824000,0 days 00:00:36.973000,252.0,305.0,295.0,292.0,1,False,,True,False,False,0 days 02:10:01.581000,0 days 02:08:36.893000,2026-03-08 05:09:43.516,0 days 02:09:06.894000,0 days 02:09:24.718000,0 days 02:10:01.691000
LIN,41,Racing Bulls,47.0,0 days 00:01:24.773000,8.0,2.0,HARD,29.0,True,,,0 days 00:00:29.868000,0 days 00:00:17.879000,0 days 00:00:37.026000,262.0,302.0,297.0,291.0,1,False,,True,False,False,0 days 02:11:26.354000,0 days 02:10:01.581000,2026-03-08 05:11:08.204,0 days 02:10:31.559000,0 days 02:10:49.438000,0 days 02:11:26.464000
LIN,41,Racing Bulls,48.0,0 days 00:01:24.863000,8.0,2.0,HARD,30.0,True,,,0 days 00:00:29.958000,0 days 00:00:17.827000,0 days 00:00:37.078000,252.0,304.0,297.0,291.0,1,False,,True,False,False,0 days 02:12:51.217000,0 days 02:11:26.354000,2026-03-08 05:12:32.977,0 days 02:11:56.422000,0 days 02:12:14.249000,0 days 02:12:51.327000
LIN,41,Racing Bulls,49.0,0 days 00:01:24.774000,8.0,2.0,HARD,31.0,True,,,0 days 00:00:29.859000,0 days 00:00:17.878000,0 days 00:00:37.037000,253.0,303.0,296.0,291.0,1,False,,True,False,False,0 days 02:14:15.991000,0 days 02:12:51.217000,2026-03-08 05:13:57.840,0 days 02:13:21.186000,0 days 02:13:39.064000,0 days 02:14:16.101000
LIN,41,Racing Bulls,50.0,0 days 00:01:24.715000,8.0,2.0,HARD,32.0,True,,,0 days 00:00:29.829000,0 days 00:00:17.897000,0 days 00:00:36.989000,253.0,303.0,298.0,290.0,1,False,,True,False,False,0 days 02:15:40.706000,0 days 02:14:15.991000,2026-03-08 05:15:22.614,0 days 02:14:45.930000,0 days 02:15:03.827000,0 days 02:15:40.816000
LIN,41,Racing Bulls,51.0,0 days 00:01:24.374000,8.0,2.0,HARD,33.0,True,,,0 days 00:00:29.802000,0 days 00:00:17.819000,0 days 00:00:36.753000,253.0,304.0,299.0,293.0,1,False,,True,False,False,0 days 02:17:05.080000,0 days 02:15:40.706000,2026-03-08 05:16:47.329,0 days 02:16:10.618000,0 days 02:16:28.437000,0 days 02:17:05.190000
LIN,41,Racing Bulls,52.0,0 days 00:01:25.210000,8.0,2.0,HARD,34.0,True,,,0 days 00:00:29.876000,0 days 00:00:17.834000,0 days 00:00:37.500000,253.0,305.0,297.0,296.0,1,False,,True,False,False,0 days 02:18:30.290000,0 days 02:17:05.080000,2026-03-08 05:18:11.703,0 days 02:17:35.066000,0 days 02:17:52.900000,0 days 02:18:30.400000
LIN,41,Racing Bulls,53.0,0 days 00:01:26.148000,8.0,2.0,HARD,35.0,True,,,0 days 00:00:29.840000,0 days 00:00:18.429000,0 days 00:00:37.879000,253.0,236.0,298.0,292.0,1,False,,True,False,False,0 days 02:19:56.438000,0 days 02:18:30.290000,2026-03-08 05:19:36.913,0 days 02:19:00.240000,0 days 02:19:18.669000,0 days 02:19:56.548000
LIN,41,Racing Bulls,54.0,0 days 00:01:28.167000,8.0,2.0,HARD,36.0,True,,,0 days 00:00:31.949000,0 days 00:00:18.437000,0 days 00:00:37.781000,219.0,315.0,306.0,272.0,1,False,,True,False,False,0 days 02:21:24.605000,0 days 02:19:56.438000,2026-03-08 05:21:03.061,0 days 02:20:28.497000,0 days 02:20:46.934000,0 days 02:21:24.715000
