event_id,race_id,attacker,target,event_start_time,event_start_lap,event_type,reason,gap_at_start_m,duration_s,cum_distance_diff_at_start_m,lapped_at_start,max_gap_jump_m,swap_by_distance,swap_by_driver_ahead,swap_time,swap_delay_s,swap_distance_delay_any_s,swap_ahead_delay_any_s,actual_swap_delay_s,pass_after_horizon,target_speed_at_start_kmh,closing_speed_at_start_kmh,green_at_start,target_retires_in_window,horizon_end,horizon_s_effective,audit_horizon_s,either_in_box_lap_at_start,either_pit_in_window,target_pit_before_outcome
monaco_2026_R_00268,monaco_2026_R,LIN,COL,2026-06-07 13:23:21.524,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",94.51333333333334,7.2,-94.7183333333378,False,12.030000000000001,False,False,,,,,,False,201.0,27.488557743483753,True,False,2026-06-07 13:23:51.524,30.0,120.0,False,False,False
monaco_2026_R_00269,monaco_2026_R,OCO,HUL,2026-06-07 13:23:23.205,15,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",94.04472222222557,4.08,-93.84611111111008,False,8.666666666666515,False,False,,,,,,False,70.0,91.84051036682531,True,False,2026-06-07 13:23:53.205,30.0,120.0,False,False,False
monaco_2026_R_00270,monaco_2026_R,COL,SAI,2026-06-07 13:23:39.365,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",97.74888888888881,16.8,-97.56916666666802,False,11.899999999999864,False,False,,,,,,False,83.0,39.30000000000007,True,False,2026-06-07 13:24:09.365,30.0,120.0,False,False,False
monaco_2026_R_00271,monaco_2026_R,HAM,ANT,2026-06-07 13:23:39.725,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",90.90083333333223,6.96,-90.71722222222161,False,9.0,False,False,,,,,,False,65.0,60.77777777777646,True,False,2026-06-07 13:24:09.725,30.0,120.0,False,False,False
monaco_2026_R_00272,monaco_2026_R,SAI,ALB,2026-06-07 13:23:41.924,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",93.83944444444455,4.561,-93.87083333332703,False,5.899999999999864,False,False,,,,,,False,42.0,33.91353996737422,True,False,2026-06-07 13:24:11.924,30.0,120.0,False,False,False
monaco_2026_R_00273,monaco_2026_R,STR,HAM,2026-06-07 13:23:56.645,16,LAPPED_UNLAPPED,pair separated by -3583 m of race distance at t0,99.06611111111113,3.12,-3583.4458333333314,True,6.199999999999932,False,False,,,,,,False,107.0,145.2631578947368,True,False,2026-06-07 13:24:26.645,30.0,120.0,False,False,False
monaco_2026_R_00274,monaco_2026_R,ALB,LAW,2026-06-07 13:23:58.365,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",84.6516666666671,5.96,-84.93611111110658,False,8.699999999999818,False,False,,,,,,False,97.0,112.50000000000085,True,False,2026-06-07 13:24:28.365,30.0,120.0,False,False,False
monaco_2026_R_00275,monaco_2026_R,OCO,HUL,2026-06-07 13:24:01.045,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.22055555555562,3.88,-98.30666666666366,False,7.1947222222222535,False,False,,,,,,False,55.0,35.68085106382999,True,False,2026-06-07 13:24:31.045,30.0,120.0,False,False,False
monaco_2026_R_00276,monaco_2026_R,HAM,ANT,2026-06-07 13:24:13.205,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.49944444444498,14.72,-98.52500000000146,False,9.533333333333303,False,False,,,,,,False,75.0,99.59999999999967,True,False,2026-06-07 13:24:43.205,30.0,120.0,False,False,False
monaco_2026_R_00277,monaco_2026_R,BEA,PIA,2026-06-07 13:24:18.005,16,LAPPED_UNLAPPED,pair separated by -3526 m of race distance at t0,41.23249999999999,7.44,-3525.894999999997,True,4.533333333333331,False,False,,,,,,False,258.0,,True,False,2026-06-07 13:24:48.005,30.0,120.0,False,False,False
monaco_2026_R_00278,monaco_2026_R,PER,LEC,2026-06-07 13:24:21.085,16,LAPPED_UNLAPPED,pair separated by -3579 m of race distance at t0,94.37277777777763,14.96,-3579.3636111111045,True,9.0,False,False,,,,,,False,73.0,109.7291666666667,True,False,2026-06-07 13:24:51.085,30.0,120.0,False,False,False
monaco_2026_R_00279,monaco_2026_R,LEC,HAM,2026-06-07 13:24:22.045,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",99.38944444444405,4.76,-99.07444444444263,False,6.599999999999909,False,False,,,,,,False,46.0,28.461538461537764,True,False,2026-06-07 13:24:52.045,30.0,120.0,False,False,False
monaco_2026_R_00280,monaco_2026_R,SAI,ALB,2026-06-07 13:24:22.565,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.18249999999853,3.68,-95.2138888888876,False,7.9999999999990905,False,False,,,,,,False,85.0,94.71428571428824,True,False,2026-06-07 13:24:52.565,30.0,120.0,False,False,False
monaco_2026_R_00281,monaco_2026_R,COL,SAI,2026-06-07 13:24:25.005,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",91.4599999999964,6.72,-91.28027777777606,False,8.000000000000455,False,False,,,,,,False,65.0,64.85106382978834,True,False,2026-06-07 13:24:55.005,30.0,120.0,False,False,False
monaco_2026_R_00282,monaco_2026_R,BEA,BOR,2026-06-07 13:24:25.765,16,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",40.83527777777772,62.121,-40.7319444444438,False,2.9333333333331666,False,False,,,,,,False,219.0,,True,False,2026-06-07 13:24:55.765,30.0,120.0,False,False,False
monaco_2026_R_00283,monaco_2026_R,BOR,BOT,2026-06-07 13:24:27.925,16,INVALID,no causal target sample at t0,95.00583333333304,59.961,,False,8.800000000000068,False,False,,,,,,False,,35.166666666666835,True,True,2026-06-07 13:24:57.925,30.0,120.0,False,False,False
monaco_2026_R_00284,monaco_2026_R,ALB,LAW,2026-06-07 13:24:32.045,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",96.65055555555553,4.56,-96.74277777777752,False,8.555555555555571,False,False,,,,,,False,132.0,148.62282608695728,True,False,2026-06-07 13:25:02.045,30.0,120.0,False,False,False
monaco_2026_R_00285,monaco_2026_R,STR,HAM,2026-06-07 13:24:42.045,16,LAPPED_UNLAPPED,pair separated by -3573 m of race distance at t0,88.65333333333297,3.2,-3573.0330555555556,True,15.322222222222308,False,False,,,,,,False,66.0,192.47760416666682,True,False,2026-06-07 13:25:12.045,30.0,120.0,False,False,False
monaco_2026_R_00286,monaco_2026_R,GAS,PIA,2026-06-07 13:24:47.045,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",99.63749999999868,4.36,-99.45249999999942,False,6.666666666666515,False,False,,,,,,False,51.0,27.560000000000038,True,False,2026-06-07 13:25:17.045,30.0,120.0,False,False,False
monaco_2026_R_00287,monaco_2026_R,HAM,ANT,2026-06-07 13:24:57.445,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",95.45722222222321,5.16,-95.48277777778276,False,7.311111111111131,False,False,,,,,,False,58.0,91.82608695652097,True,False,2026-06-07 13:25:27.445,30.0,120.0,False,False,False
monaco_2026_R_00288,monaco_2026_R,COL,SAI,2026-06-07 13:24:58.285,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",88.03166666666675,16.481,-88.07277777777927,False,11.733333333333348,False,False,,,,,,False,74.0,83.87234042553227,True,False,2026-06-07 13:25:28.285,30.0,120.0,False,False,False
monaco_2026_R_00289,monaco_2026_R,SAI,ALB,2026-06-07 13:24:59.765,17,CLOSE_INTERACTION_NO_PASS,"valid close battle, no pairwise order change inside the horizon",98.32555555555541,5.64,-98.27499999999418,False,9.41111111111104,False,False,,,,,,False,47.0,18.282608695652602,True,False,2026-06-07 13:25:29.765,30.0,120.0,False,False,False
