p_hat_min,energy_floor,deploy_share_min,attack_rate,n_attack,median_p_hat_attack,median_p_hat_save,energy_floor_vetoes,spend_context_vetoes,p_hat_below_vetoes,lookahead_unusable_vetoes
0.35,0.1,0.4,0.19568792252877765,1071,0.6092490739454327,0.07098135920551671,319,368,3714,1
0.45,0.1,0.4,0.15676959619952494,858,0.6769780791547182,0.0802811869838577,319,298,3997,1
0.55,0.1,0.4,0.11949570619404348,654,0.746369307898771,0.089147330871853,319,227,4272,1
0.45,0.05,0.4,0.1604238991412388,878,0.6734974151750022,0.0792389170596966,196,299,4099,1
0.45,0.2,0.4,0.15402886899323953,843,0.6785664266703408,0.0807030091662912,433,295,3901,1
0.45,0.1,0.35,0.16133747487666728,883,0.6744469516194037,0.07910414705321675,319,273,3997,1
0.45,0.1,0.5,0.15037456605152566,823,0.6741913235477671,0.08152569613012005,319,333,3997,1
