Driver,DriverNumber,LapNumber,Position,LapTimeSeconds,LapTimeDelta,PositionChange
ANT,12,20,4.0,88.479,-26.855000000000004,0.0
ANT,12,21,4.0,82.781,-5.697999999999993,0.0
ANT,12,22,4.0,82.862,0.08099999999998886,0.0
ANT,12,23,4.0,82.582,-0.28000000000000114,0.0
ANT,12,24,4.0,83.222,0.6400000000000006,0.0
ANT,12,25,3.0,84.545,1.3230000000000075,-1.0
ANT,12,26,3.0,83.138,-1.4069999999999965,0.0
ANT,12,27,3.0,83.103,-0.0350000000000108,0.0
ANT,12,28,2.0,83.03,-0.07299999999999329,-1.0
ANT,12,29,2.0,82.968,-0.06199999999999761,0.0
ANT,12,30,2.0,82.889,-0.07900000000000773,0.0
ANT,12,31,2.0,82.88,-0.009000000000000341,0.0
ANT,12,32,2.0,83.239,0.35900000000000887,0.0
ANT,12,33,2.0,83.017,-0.2220000000000084,0.0
ANT,12,34,2.0,98.387,15.370000000000005,0.0
ANT,12,35,2.0,83.292,-15.094999999999999,0.0
ANT,12,36,2.0,82.865,-0.4270000000000067,0.0
ANT,12,37,2.0,82.966,0.10099999999999909,0.0
ANT,12,38,2.0,82.989,0.023000000000010346,0.0
ANT,12,39,2.0,82.921,-0.06799999999999784,0.0
ANT,12,40,2.0,82.672,-0.24900000000000944,0.0
ANT,12,41,2.0,82.928,0.2560000000000002,0.0
ANT,12,42,2.0,82.942,0.013999999999995794,0.0
ANT,12,43,2.0,83.015,0.0730000000000075,0.0
ANT,12,44,2.0,83.079,0.06399999999999295,0.0
ANT,12,45,2.0,83.123,0.04400000000001114,0.0
ANT,12,46,2.0,83.038,-0.08500000000000796,0.0
ANT,12,47,2.0,83.066,0.028000000000005798,0.0
ANT,12,48,2.0,82.992,-0.07399999999999807,0.0
ANT,12,49,2.0,83.245,0.2530000000000001,0.0
ANT,12,50,2.0,82.903,-0.34199999999999875,0.0
ANT,12,51,2.0,82.625,-0.2780000000000058,0.0
ANT,12,52,2.0,82.558,-0.06699999999999307,0.0
ANT,12,53,2.0,82.613,0.05499999999999261,0.0
ANT,12,54,2.0,82.842,0.2289999999999992,0.0
ANT,12,55,2.0,82.928,0.08599999999999852,0.0
ANT,12,56,2.0,82.603,-0.32500000000000284,0.0
ANT,12,57,2.0,82.417,-0.18599999999999284,0.0
ANT,12,58,2.0,82.653,0.2360000000000042,0.0
BEA,87,1,14.0,99.765,,
BEA,87,2,12.0,87.321,-12.444000000000003,-2.0
BEA,87,3,11.0,86.384,-0.9369999999999976,-1.0
BEA,87,4,11.0,85.92,-0.46399999999999864,0.0
BEA,87,5,11.0,86.003,0.08299999999999841,0.0
BEA,87,6,10.0,85.969,-0.034000000000006025,-1.0
BEA,87,7,10.0,85.195,-0.7740000000000009,0.0
BEA,87,8,11.0,86.046,0.8510000000000133,1.0
BEA,87,9,11.0,85.397,-0.6490000000000009,0.0
BEA,87,10,11.0,85.668,0.2710000000000008,0.0
BEA,87,11,7.0,91.403,5.734999999999999,-4.0
BEA,87,12,7.0,115.039,23.635999999999996,0.0
BEA,87,13,7.0,113.783,-1.2560000000000002,0.0
BEA,87,14,7.0,85.628,-28.155,0.0
BEA,87,15,7.0,84.562,-1.0660000000000025,0.0
BEA,87,16,7.0,84.563,0.0010000000000047748,0.0
BEA,87,17,7.0,84.807,0.24399999999999977,0.0
BEA,87,18,8.0,107.604,22.796999999999997,1.0
BEA,87,19,8.0,116.677,9.073000000000008,0.0
BEA,87,20,8.0,85.186,-31.491,0.0
BEA,87,21,8.0,84.203,-0.9830000000000041,0.0
BEA,87,22,8.0,84.02,-0.18300000000000693,0.0
BEA,87,23,8.0,84.968,0.9480000000000075,0.0
BEA,87,24,8.0,84.692,-0.27600000000001046,0.0
BEA,87,25,8.0,84.058,-0.6339999999999861,0.0
BEA,87,26,8.0,84.155,0.0969999999999942,0.0
BEA,87,27,8.0,84.284,0.1290000000000049,0.0
BEA,87,28,8.0,84.216,-0.06800000000001205,0.0
BEA,87,29,8.0,85.315,1.0990000000000038,0.0
BEA,87,30,8.0,84.509,-0.8059999999999974,0.0
BEA,87,31,8.0,84.627,0.117999999999995,0.0
BEA,87,32,8.0,85.006,0.3790000000000049,0.0
BEA,87,33,8.0,90.647,5.641000000000005,0.0
BEA,87,34,8.0,92.31,1.6629999999999967,0.0
BEA,87,35,7.0,84.914,-7.396000000000001,-1.0
BEA,87,36,7.0,84.598,-0.3160000000000025,0.0
BEA,87,37,7.0,84.5,-0.09799999999999898,0.0
BEA,87,38,8.0,85.093,0.5930000000000035,1.0
BEA,87,39,8.0,84.756,-0.3370000000000033,0.0
BEA,87,40,7.0,86.988,2.2319999999999993,-1.0
BEA,87,41,7.0,85.049,-1.938999999999993,0.0
BEA,87,42,7.0,84.503,-0.5460000000000065,0.0
BEA,87,43,7.0,84.549,0.04600000000000648,0.0
BEA,87,44,7.0,84.612,0.06299999999998818,0.0
BEA,87,45,7.0,84.13,-0.4819999999999993,0.0
BEA,87,46,7.0,84.55,0.4200000000000017,0.0
BEA,87,47,7.0,84.76,0.21000000000000796,0.0
BEA,87,48,7.0,84.404,-0.35600000000000875,0.0
BEA,87,49,7.0,84.281,-0.12299999999999045,0.0
BEA,87,50,7.0,84.467,0.18599999999999284,0.0
BEA,87,51,7.0,84.233,-0.23399999999999466,0.0
BEA,87,52,7.0,84.264,0.0309999999999917,0.0
BEA,87,53,7.0,84.615,0.3509999999999991,0.0
BEA,87,54,7.0,84.61,-0.0049999999999954525,0.0
BEA,87,55,7.0,84.5,-0.10999999999999943,0.0
BEA,87,56,7.0,86.439,1.938999999999993,0.0
BEA,87,57,7.0,86.649,0.21000000000000796,0.0
BOR,5,1,11.0,98.755,,
BOR,5,2,11.0,87.538,-11.216999999999999,0.0
BOR,5,3,10.0,86.324,-1.2139999999999986,-1.0
BOR,5,4,10.0,86.032,-0.2920000000000016,0.0
BOR,5,5,10.0,86.327,0.2950000000000017,0.0
BOR,5,7,12.0,85.785,-0.5420000000000016,2.0
BOR,5,8,12.0,85.47,-0.3149999999999977,0.0
BOR,5,9,12.0,85.224,-0.2459999999999951,0.0
BOR,5,10,12.0,85.561,0.3370000000000033,0.0
BOR,5,11,8.0,91.862,6.300999999999988,-4.0
BOR,5,12,8.0,114.364,22.50200000000001,0.0
BOR,5,13,8.0,114.445,0.08099999999998886,0.0
BOR,5,14,8.0,85.958,-28.486999999999995,0.0
BOR,5,15,8.0,84.819,-1.1389999999999958,0.0
BOR,5,16,8.0,84.98,0.16100000000000136,0.0
BOR,5,17,8.0,85.061,0.08100000000000307,0.0
BOR,5,18,9.0,110.359,25.297999999999988,1.0
BOR,5,19,11.0,115.679,5.320000000000007,2.0
BOR,5,20,9.0,85.201,-30.47800000000001,-2.0
BOR,5,21,9.0,85.044,-0.15699999999999648,0.0
BOR,5,22,9.0,84.428,-0.6159999999999997,0.0
BOR,5,23,9.0,84.335,-0.09300000000000352,0.0
BOR,5,24,9.0,84.327,-0.007999999999995566,0.0
BOR,5,25,9.0,84.37,0.043000000000006366,0.0
BOR,5,26,9.0,84.533,0.1629999999999967,0.0
BOR,5,27,9.0,84.535,0.001999999999995339,0.0
BOR,5,28,9.0,84.44,-0.09499999999999886,0.0
BOR,5,29,9.0,84.694,0.2540000000000049,0.0
BOR,5,30,9.0,84.364,-0.3299999999999983,0.0
BOR,5,31,9.0,84.153,-0.21099999999999852,0.0
BOR,5,32,9.0,83.978,-0.17500000000001137,0.0
BOR,5,33,11.0,104.235,20.257000000000005,2.0
BOR,5,34,11.0,93.286,-10.948999999999998,0.0
BOR,5,35,11.0,83.954,-9.332000000000008,0.0
BOR,5,36,11.0,83.655,-0.2989999999999924,0.0
BOR,5,37,11.0,83.732,0.07699999999999818,0.0
BOR,5,38,11.0,85.119,1.3870000000000005,0.0
BOR,5,39,10.0,84.83,-0.2890000000000015,-1.0
BOR,5,40,9.0,84.696,-0.13400000000000034,-1.0
BOR,5,41,9.0,84.47,-0.2259999999999991,0.0
BOR,5,42,9.0,83.803,-0.6670000000000016,0.0
BOR,5,43,9.0,83.643,-0.1599999999999966,0.0
BOR,5,44,9.0,83.736,0.09300000000000352,0.0
BOR,5,45,9.0,83.257,-0.4789999999999992,0.0
BOR,5,46,9.0,83.346,0.08899999999999864,0.0
BOR,5,47,9.0,83.976,0.6299999999999955,0.0
BOR,5,48,9.0,85.008,1.0319999999999965,0.0
BOR,5,49,9.0,84.889,-0.11899999999999977,0.0
BOR,5,50,9.0,84.324,-0.5649999999999977,0.0
BOR,5,51,9.0,85.635,1.311000000000007,0.0
BOR,5,52,9.0,84.359,-1.2760000000000105,0.0
BOR,5,53,9.0,86.063,1.7040000000000077,0.0
BOR,5,54,9.0,84.548,-1.5150000000000006,0.0
BOR,5,55,9.0,85.268,0.7199999999999989,0.0
BOR,5,56,9.0,84.515,-0.7530000000000001,0.0
BOR,5,57,9.0,84.821,0.3059999999999974,0.0
BOT,77,1,15.0,100.85,,
BOT,77,2,18.0,90.152,-10.697999999999993,3.0
BOT,77,3,19.0,89.219,-0.9330000000000069,1.0
BOT,77,4,19.0,88.057,-1.161999999999992,0.0
BOT,77,5,19.0,87.738,-0.3190000000000026,0.0
BOT,77,6,19.0,87.804,0.0660000000000025,0.0
BOT,77,7,19.0,87.457,-0.3470000000000084,0.0
BOT,77,8,19.0,87.364,-0.09299999999998931,0.0
BOT,77,9,18.0,87.679,0.3149999999999977,-1.0
BOT,77,10,18.0,87.661,-0.018000000000000682,0.0
BOT,77,11,15.0,99.058,11.397000000000006,-3.0
BOT,77,13,18.0,104.111,5.052999999999997,3.0
BOT,77,14,18.0,91.389,-12.722000000000008,0.0
BOT,77,15,18.0,91.33,-0.0589999999999975,0.0
COL,43,1,17.0,101.613,,
COL,43,2,16.0,88.166,-13.447000000000003,-1.0
COL,43,3,16.0,86.935,-1.2309999999999945,0.0
COL,43,4,16.0,86.812,-0.12300000000000466,0.0
COL,43,5,16.0,87.512,0.7000000000000028,0.0
COL,43,6,15.0,87.513,0.0010000000000047748,-1.0
COL,43,7,15.0,86.068,-1.4450000000000074,0.0
COL,43,8,15.0,85.818,-0.25,0.0
COL,43,9,20.0,109.931,24.113,5.0
COL,43,10,20.0,92.762,-17.168999999999997,0.0
COL,43,11,18.0,105.807,13.045000000000002,-2.0
COL,43,12,17.0,123.67,17.863,-1.0
COL,43,13,16.0,93.872,-29.798000000000002,-1.0
COL,43,14,16.0,86.663,-7.209000000000003,0.0
COL,43,15,16.0,85.6,-1.0630000000000024,0.0
COL,43,16,16.0,85.911,0.31100000000000705,0.0
COL,43,17,16.0,85.708,-0.20300000000000296,0.0
COL,43,18,15.0,112.961,27.253,-1.0
COL,43,19,15.0,101.676,-11.284999999999997,0.0
COL,43,20,15.0,85.331,-16.345,0.0
COL,43,21,15.0,84.932,-0.3990000000000009,0.0
COL,43,22,15.0,85.011,0.07899999999999352,0.0
COL,43,23,15.0,85.136,0.125,0.0
COL,43,24,15.0,85.449,0.3130000000000024,0.0
COL,43,25,15.0,85.225,-0.22400000000000375,0.0
COL,43,26,15.0,85.174,-0.05099999999998772,0.0
COL,43,27,15.0,85.626,0.4519999999999982,0.0
COL,43,28,15.0,86.172,0.5459999999999923,0.0
COL,43,29,15.0,86.483,0.31100000000000705,0.0
COL,43,30,15.0,85.566,-0.9170000000000016,0.0
COL,43,31,15.0,87.26,1.6940000000000026,0.0
COL,43,32,15.0,85.707,-1.5530000000000115,0.0
COL,43,33,15.0,100.541,14.834000000000003,0.0
COL,43,34,13.0,86.067,-14.474000000000004,-2.0
COL,43,35,13.0,85.633,-0.4339999999999975,0.0
COL,43,36,13.0,87.434,1.801000000000002,0.0
COL,43,37,14.0,87.047,-0.38700000000000045,1.0
COL,43,38,14.0,87.012,-0.03499999999999659,0.0
COL,43,39,14.0,86.964,-0.04800000000000182,0.0
COL,43,40,14.0,86.665,-0.2989999999999924,0.0
COL,43,41,14.0,86.469,-0.19600000000001216,0.0
COL,43,42,14.0,85.275,-1.1939999999999884,0.0
COL,43,43,14.0,85.381,0.10599999999999454,0.0
COL,43,44,14.0,85.24,-0.14100000000000534,0.0
COL,43,45,14.0,84.939,-0.30100000000000193,0.0
COL,43,46,14.0,102.911,17.97200000000001,0.0
COL,43,47,14.0,90.309,-12.602000000000004,0.0
