Driver,LapNumber,D_lap,H_lap,n_valid_samples,freeze_flag,yellow_flag,thin_lap,IsAccurate,TrackStatus,mean_throttle,max_dt_used,calibration_set,EstimatedEnergyIndex,EstimatedEnergyIndex_end,EstimatedEnergyIndex_min,EstimatedEnergyIndex_max,n_clip_low,n_clip_high
NOR,1,3282.623775,8981.037037037036,361,False,False,False,False,1,53.11357340720222,0.84,False,0.9666518485396528,0.9666518485396528,0.9167598111838171,1.0,0,5
NOR,2,3418.294808333333,9242.586419753086,332,False,False,False,True,1,58.855421686746986,0.8,True,0.9618230267159074,0.9618230267159074,0.9129474426608465,1.0,0,3
NOR,3,3428.841222222222,8786.734567901232,332,False,False,False,True,1,60.92469879518072,0.881,True,0.9632207578924816,0.9632207578924816,0.9126718844971623,1.0,0,2
NOR,4,3619.6914583333337,8579.771604938273,329,False,False,False,True,1,63.80851063829788,0.879,True,0.9370825171650089,0.9370825171650089,0.8969430402269231,1.0,0,2
NOR,5,3421.780033333333,8029.124691358024,328,False,False,False,True,1,58.91768292682927,0.92,True,0.9478042711160318,0.9478042711160318,0.9180690543577387,1.0,0,2
NOR,6,3549.64663611111,7730.401851851851,323,False,False,False,True,1,60.60061919504644,0.92,True,0.9543995525448593,0.9543995525448593,0.9053440229095373,0.9995100837338747,0,0
NOR,7,3638.581238888889,8915.117901234567,308,False,False,False,True,1,62.701298701298704,0.999,True,0.964838267536841,0.964838267536841,0.9088325683671276,1.0,0,2
NOR,8,3547.0853888888887,9402.203703703708,307,False,False,False,True,1,64.41693811074919,0.88,True,0.9630775783324302,0.9630775783324302,0.9186414178331107,1.0,0,3
NOR,9,3484.5547194444443,9333.55061728395,325,False,False,False,True,1,62.86769230769231,0.96,True,0.9646646530468348,0.9646646530468348,0.9209615400851349,1.0,0,4
NOR,10,3660.788658333333,8762.524691358025,316,False,False,False,True,1,64.76582278481013,0.92,True,0.9575758926025963,0.9575758926025963,0.9100234406782839,1.0,0,2
NOR,11,0.0,0.0,379,True,False,False,False,16,52.20316622691293,0.761,False,0.9575758926025963,0.9575758926025963,0.9575758926025963,0.9575758926025963,0,0
NOR,12,0.0,0.0,439,True,False,False,False,6,32.55125284738041,1.0,False,0.9575758926025963,0.9575758926025963,0.9575758926025963,0.9575758926025963,0,0
