event_id,race_id,year,circuit,attacker,target,target_number,event_start_time,event_end_time,event_duration_s,in_band_duration_s,outcome_window_end,outcome_window_s,event_start_lap,n_samples_in_episode,gap_at_start_m,gap_at_start_s_crude_audit,gap_min_in_episode_m,attacker_speed_at_start_kmh,target_speed_same_time_kmh_audit,relative_speed_same_time_kmh_audit,closing_speed_v1_kmh_audit,closing_speed_v1_window_s_audit,closing_speed_v1_available_audit,attacker_position,target_position,track_distance_at_start_m,zone_id,distance_to_next_corner_m,distance_to_next_straight_m,compound,tyre_age,stint,EstimatedEnergyIndex,LookaheadDeployProxy,LookaheadHarvestProxy,LookaheadCoveredM,lookahead_truncated,TrackStatus,freeze_flag,event_type,overtake_success,attacker_PositionChange_audit,target_speed_at_attacker_position_kmh,relative_speed_same_position_kmh,spatial_time_gap_s,spatial_alignment_ok,spatial_alignment_lag_raw_s,closing_speed_at_start_kmh,closing_speed_n_samples,closing_speed_available,closing_speed_window_s,feature_version
australian_gp_2026_R_00001,australian_gp_2026_R,2026,Albert Park,RUS,LEC,16,2026-03-08 04:04:59.732,2026-03-08 04:05:41.132,41.4,35.68,2026-03-08 04:06:11.132,71.4,2,134,58.44805555555557,0.7132644067796612,12.491111111111875,295.0,282.0,13.0,,,False,1.0,2.0,35.61888888888889,straight_01,288.26485165811835,431.0814476666789,MEDIUM,2.0,1.0,0.9911474746864882,15958.729875332187,99495.19053575172,400.0,False,1,False,ON_TRACK_PASS,1.0,-1.0,282.0,13.0,0.74784,True,0.74784,18.503373670700242,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00002,australian_gp_2026_R,2026,Albert Park,HAD,HAM,44,2026-03-08 04:05:03.132,2026-03-08 04:05:40.412,37.28,37.28,2026-03-08 04:06:10.412,67.28,2,141,62.8736111111111,0.7445559210526315,27.672222222222445,304.0,298.0,6.0,-32.318229166665965,1.92,True,4.0,3.0,40.90333333333332,straight_01,282.9804072136739,425.7970032222345,MEDIUM,2.0,1.0,0.9955715218724516,15778.548170598024,99480.50111966883,399.99999999999994,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,0.0,293.0,11.0,0.765969,True,0.765969,23.67157061437537,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00003,australian_gp_2026_R,2026,Albert Park,NOR,LIN,41,2026-03-08 04:05:03.372,2026-03-08 04:05:19.292,15.92,14.84,2026-03-08 04:05:49.292,45.92,2,54,28.305,0.34193959731543627,11.805555555555545,298.0,282.0,16.0,,,False,6.0,5.0,25.133333333333333,straight_01,298.7504072136739,441.56700322223446,MEDIUM,2.0,1.0,0.9961844361222696,16316.251899633346,99524.33772237372,400.0,False,1,False,ON_TRACK_PASS,1.0,0.0,282.0,16.0,0.369219,True,0.369219,-1.4017567893365703,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00004,australian_gp_2026_R,2026,Albert Park,LIN,HAD,6,2026-03-08 04:05:03.772,2026-03-08 04:05:19.292,15.52,15.52,2026-03-08 04:05:49.292,45.52,2,57,10.25500000000001,0.1309148936170214,10.25500000000001,282.0,308.0,-26.0,-25.62500000000009,0.64,True,5.0,4.0,85.38888888888887,straight_01,238.49485165811836,381.31144766667893,MEDIUM,2.0,1.0,0.9950868936529208,14689.633683362807,99461.24839436755,400.0,False,1,False,ON_TRACK_PASS,1.0,0.0,307.70185064935066,-25.70185064935066,0.119259,True,0.119259,-31.73112127609569,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00005,australian_gp_2026_R,2026,Albert Park,ANT,NOR,1,2026-03-08 04:05:04.212,2026-03-08 04:05:53.652,49.44,49.44,2026-03-08 04:06:23.652,79.44,2,153,40.726666666666674,0.49532432432432444,10.360555555555608,296.0,291.0,5.0,,,False,7.0,6.0,53.114444444444445,straight_01,270.76929610256275,413.58589211112337,MEDIUM,2.0,1.0,0.9923119490215582,15362.19053076866,99446.55732598694,399.99999999999994,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,0.0,292.8254109589041,3.174589041095885,0.495027,True,0.495027,-1.8899618167478391,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00006,australian_gp_2026_R,2026,Albert Park,OCO,ANT,12,2026-03-08 04:05:04.452,2026-03-08 04:05:20.132,15.68,15.68,2026-03-08 04:05:50.132,45.68,2,58,45.40944444444444,0.575612676056338,28.249999999999943,284.0,296.0,-12.0,-238.14705882354968,0.68,True,8.0,7.0,27.27500000000001,straight_01,296.6087405470072,439.42533655556775,MEDIUM,2.0,1.0,0.9955451016493932,16243.228300837067,99518.3844318986,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,0.0,296.0,-12.0,0.554263,True,0.554263,-32.14591269769319,11,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00007,australian_gp_2026_R,2026,Albert Park,GAS,OCO,31,2026-03-08 04:05:05.172,2026-03-08 04:05:20.932,15.76,14.12,2026-03-08 04:05:50.932,45.76,2,44,36.21944444444445,0.44654109589041097,11.097500000000023,292.0,284.0,8.0,10.932142857143939,1.4,True,9.0,8.0,48.43333333333333,straight_01,275.4504072136739,418.26700322223445,MEDIUM,2.0,1.0,0.9956293048706802,15521.800606892511,99459.56962833289,400.0,False,1,False,ON_TRACK_PASS,1.0,0.0,284.0,8.0,0.451795,True,0.451795,4.8999431703626,10,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00008,australian_gp_2026_R,2026,Albert Park,ALO,GAS,10,2026-03-08 04:05:05.452,2026-03-08 04:05:20.932,15.48,15.48,2026-03-08 04:05:50.932,45.48,2,58,22.405,0.2679667774086379,14.971666666666607,301.0,292.0,9.0,,,False,10.0,9.0,48.16166666666666,straight_01,275.72207388034053,418.53866988890115,SOFT,2.0,1.0,0.9961606575664268,15531.063522537486,99460.32479280561,399.99999999999994,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,0.0,292.0,9.0,0.283349,True,0.283349,4.99681217795045,10,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00009,australian_gp_2026_R,2026,Albert Park,BOR,ALO,14,2026-03-08 04:05:05.612,2026-03-08 04:05:21.932,16.32,14.84,2026-03-08 04:05:51.932,46.32,2,44,40.38666666666666,0.48626086956521736,10.203611111111172,299.0,301.0,-2.0,,,False,11.0,10.0,21.30694444444444,straight_01,302.57679610256275,445.3933921111234,MEDIUM,2.0,1.0,0.9955101288532958,16446.718835225918,99534.9741135923,399.99999999999994,False,1,False,ON_TRACK_PASS,1.0,0.0,,,,False,,-26.80621479641019,10,True,3.0,v3_continuous_distance_detector_plus_v2_speed
australian_gp_2026_R_00010,australian_gp_2026_R,2026,Albert Park,ALB,BOR,5,2026-03-08 04:05:06.212,2026-03-08 04:05:10.092,3.88,3.88,2026-03-08 04:05:40.092,33.88,2,16,52.498333333333335,0.640657627118644,36.57361111111112,295.0,303.0,-8.0,-46.6184210526355,0.76,True,13.0,11.0,19.662777777777787,straight_01,304.22096276922946,447.03755877779,MEDIUM,2.0,1.0,0.9957198996906504,16502.779364574188,99539.54448017107,400.0,False,1,False,CLOSE_INTERACTION_NO_PASS,0.0,1.0,298.87627508361203,-3.876275083612029,0.619795,True,0.619795,-21.11973602363944,10,True,3.0,v3_continuous_distance_detector_plus_v2_speed
