event_id_v3,event_id_v4,attacker,target_number,event_start_time,event_duration_s_v3,old_event_type,new_event_type,old_label,new_label,actual_swap_delay_s,pass_after_horizon,swap_delay_in_horizon_s,new_reason
australian_gp_2026_R_00321,australian_gp_2026_R_00382,LAW,11,2026-03-08 04:24:45.295,26.0,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,86.16,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 86.2 s after t0, outside it"
australian_gp_2026_R_00014,australian_gp_2026_R_00014,LAW,43,2026-03-08 04:05:08.972,56.88,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,50.92,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 50.9 s after t0, outside it"
australian_gp_2026_R_00467,australian_gp_2026_R_00558,LAW,43,2026-03-08 04:57:20.541,78.761,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,85.001,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 85.0 s after t0, outside it"
australian_gp_2026_R_00027,australian_gp_2026_R_00027,LEC,63,2026-03-08 04:05:43.452,90.321,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00004,australian_gp_2026_R_00004,LIN,6,2026-03-08 04:05:03.772,15.52,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,44.8,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 44.8 s after t0, outside it"
australian_gp_2026_R_00080,australian_gp_2026_R_00086,NOR,10,2026-03-08 04:07:23.892,9.08,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,38.241,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 38.2 s after t0, outside it"
australian_gp_2026_R_00473,australian_gp_2026_R_00564,NOR,41,2026-03-08 04:58:33.582,72.0,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,72.8,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 72.8 s after t0, outside it"
australian_gp_2026_R_00426,australian_gp_2026_R_00511,OCO,10,2026-03-08 04:47:00.136,343.362,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00371,australian_gp_2026_R_00442,OCO,5,2026-03-08 04:33:05.854,31.6,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,31.76,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 31.8 s after t0, outside it"
australian_gp_2026_R_00001,australian_gp_2026_R_00001,RUS,16,2026-03-08 04:04:59.732,41.4,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,41.64,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 41.6 s after t0, outside it"
australian_gp_2026_R_00073,australian_gp_2026_R_00079,RUS,16,2026-03-08 04:07:14.573,392.96,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00086,australian_gp_2026_R_00094,SAI,14,2026-03-08 04:07:43.252,6.001,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00160,australian_gp_2026_R_00183,SAI,14,2026-03-08 04:10:57.493,48.84,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,49.08,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 49.1 s after t0, outside it"
australian_gp_2026_R_00495,australian_gp_2026_R_00592,SAI,43,2026-03-08 05:03:42.663,379.16,UNCERTAIN,CLOSE_INTERACTION_NO_PASS,,0.0,,False,,"valid close battle, no pairwise order change inside the horizon"
australian_gp_2026_R_00016,australian_gp_2026_R_00016,STR,11,2026-03-08 04:05:10.372,75.64,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,76.0,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 76.0 s after t0, outside it"
australian_gp_2026_R_00100,australian_gp_2026_R_00114,STR,77,2026-03-08 04:08:07.573,62.999,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,63.239,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 63.2 s after t0, outside it"
australian_gp_2026_R_00163,australian_gp_2026_R_00186,STR,77,2026-03-08 04:11:01.653,77.04,ON_TRACK_PASS,UNCERTAIN,1.0,,77.28,True,3.68,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00093,australian_gp_2026_R_00101,VER,23,2026-03-08 04:07:51.652,54.241,ON_TRACK_PASS,UNCERTAIN,1.0,,54.481,True,25.88,"only one of the two order-change signals fired (distance=True, driver_ahead=False)"
australian_gp_2026_R_00241,australian_gp_2026_R_00287,VER,31,2026-03-08 04:17:23.134,15.24,PIT_RELATED,CLOSE_INTERACTION_NO_PASS,,0.0,109.561,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 109.6 s after t0, outside it"
australian_gp_2026_R_00026,australian_gp_2026_R_00026,VER,55,2026-03-08 04:05:34.972,47.2,ON_TRACK_PASS,CLOSE_INTERACTION_NO_PASS,1.0,0.0,47.36,True,,"valid close battle, no pairwise order change inside the horizon; the pair did swap 47.4 s after t0, outside it"
