error_tag,n,mean_p,median_gap_m,median_closing_kmh,median_relative_kmh,median_energy,median_lookahead_deploy,median_tyre_age,median_track_frac,top_zone_type,top_race
false_negative,247,0.10498073652647082,86.14138888888965,19.28410154559808,7.0,0.9129797439264722,12940.694547221176,8.0,0.4569790006574823,brake,china_2026_R
false_positive,311,0.6808429670679039,13.231388888889567,-23.689362698060545,-31.98199282786885,0.9389757014247576,20953.261956551218,8.0,0.5566460254261321,straight,japan_2026_R
other,1145,0.3292008119617883,39.92000000000007,2.4105446379874333,8.0,0.9460426985698944,17365.579387513146,8.0,0.403970484025597,straight,japan_2026_R
true_negative,3042,0.06055174440865574,95.8172222222222,46.94860149719753,2.370046339176753,0.8927745717645066,11169.60260457978,13.0,0.3675334971916518,brake,monaco_2026_R
true_positive,728,0.7515874708830189,13.391250000001264,-59.80273355115951,-67.77054758107394,0.9427596954099544,16436.14942480123,8.0,0.5322384312995083,straight,japan_2026_R
