bin,p_mean,y_rate,n,abs_gap
0,0.06845698318980158,0.09438103599648814,2278,0.025924052806686568
1,0.12856863286276396,0.13225499524262607,1051,0.0036863623798621126
2,0.2482302767938756,0.3153846153846154,390,0.06715433859073977
3,0.34967878888883047,0.30303030303030304,330,0.04664848585852743
4,0.4454814021852365,0.3561643835616438,292,0.0893170186235927
5,0.5587798066936781,0.5728395061728395,405,0.014059699479161414
6,0.6444420661549546,0.6649395509499136,579,0.020497484794959053
7,0.7414405216547744,0.7443609022556391,133,0.002920380600864747
8,0.8340135685025397,0.6,15,0.23401356850253974
