event_id,race_id,circuit,overtake_success,model,p_hat,fold,error_tag
australia_2026_R_00062,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.26237892257514794,australia_2026_R,other
australia_2026_R_00063,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.358771568276701,australia_2026_R,other
australia_2026_R_00065,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.15339439209653177,australia_2026_R,true_negative
australia_2026_R_00066,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.02180356263404788,australia_2026_R,true_negative
australia_2026_R_00067,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.24990148986124264,australia_2026_R,other
australia_2026_R_00068,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5837775975189757,australia_2026_R,false_positive
australia_2026_R_00069,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.25453861697236946,australia_2026_R,other
australia_2026_R_00070,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.16373364534199283,australia_2026_R,false_negative
australia_2026_R_00071,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.026267605747378672,australia_2026_R,true_negative
australia_2026_R_00072,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03911449573387476,australia_2026_R,true_negative
australia_2026_R_00073,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.1788594249285678,australia_2026_R,true_negative
australia_2026_R_00074,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.5124773399627849,australia_2026_R,true_positive
australia_2026_R_00075,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.1474369401833692,australia_2026_R,true_negative
australia_2026_R_00076,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3409377410738452,australia_2026_R,other
australia_2026_R_00077,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.456882318984088,australia_2026_R,other
australia_2026_R_00078,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4505278878441601,australia_2026_R,other
australia_2026_R_00079,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.7009199256353125,australia_2026_R,false_positive
australia_2026_R_00080,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.42461893643293946,australia_2026_R,other
australia_2026_R_00081,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.637018860595271,australia_2026_R,false_positive
australia_2026_R_00082,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.27900230671784804,australia_2026_R,other
australia_2026_R_00083,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.7001047430571762,australia_2026_R,true_positive
australia_2026_R_00084,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08180011750595814,australia_2026_R,true_negative
australia_2026_R_00085,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.821498876057816,australia_2026_R,true_positive
australia_2026_R_00086,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.7797892636484529,australia_2026_R,false_positive
australia_2026_R_00087,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.29058156340812374,australia_2026_R,other
australia_2026_R_00088,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.4563450169771535,australia_2026_R,other
australia_2026_R_00089,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06524045679881198,australia_2026_R,true_negative
australia_2026_R_00090,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.2755437314018338,australia_2026_R,other
australia_2026_R_00091,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.07757071416960871,australia_2026_R,true_negative
australia_2026_R_00092,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5401179464936534,australia_2026_R,false_positive
australia_2026_R_00093,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.6164957355467612,australia_2026_R,true_positive
australia_2026_R_00094,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4797003557772441,australia_2026_R,other
australia_2026_R_00096,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.20227932157910736,australia_2026_R,other
australia_2026_R_00098,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.2713857343706162,australia_2026_R,other
australia_2026_R_00099,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.5716485993901623,australia_2026_R,true_positive
australia_2026_R_00100,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.2764866443296076,australia_2026_R,other
australia_2026_R_00102,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.35021725680183463,australia_2026_R,other
australia_2026_R_00103,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.359841972373569,australia_2026_R,other
australia_2026_R_00104,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.09531169078199547,australia_2026_R,true_negative
australia_2026_R_00105,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.12281661327101052,australia_2026_R,true_negative
australia_2026_R_00106,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.34893758704367656,australia_2026_R,other
australia_2026_R_00107,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06981068567232125,australia_2026_R,true_negative
australia_2026_R_00109,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.0749694877419986,australia_2026_R,true_negative
australia_2026_R_00110,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.03747007429366101,australia_2026_R,true_negative
australia_2026_R_00111,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.7131655509684935,australia_2026_R,true_positive
australia_2026_R_00112,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.415043967898602,australia_2026_R,other
australia_2026_R_00113,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.334461661482314,australia_2026_R,other
australia_2026_R_00114,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18719920145295896,australia_2026_R,true_negative
australia_2026_R_00115,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.027667776744825418,australia_2026_R,true_negative
australia_2026_R_00116,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.0207659124916543,australia_2026_R,true_negative
australia_2026_R_00117,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5553965302517965,australia_2026_R,false_positive
australia_2026_R_00118,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.5206243878196585,australia_2026_R,false_positive
australia_2026_R_00119,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.5874866284495027,australia_2026_R,true_positive
australia_2026_R_00120,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3096247025437048,australia_2026_R,other
australia_2026_R_00121,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.26106357614797127,australia_2026_R,other
australia_2026_R_00122,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.07978877259527274,australia_2026_R,false_negative
australia_2026_R_00123,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.2773085069472572,australia_2026_R,other
australia_2026_R_00124,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.6667116803872328,australia_2026_R,true_positive
australia_2026_R_00125,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.631623370262148,australia_2026_R,false_positive
australia_2026_R_00126,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.2643554807213827,australia_2026_R,other
australia_2026_R_00127,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4882377574482626,australia_2026_R,other
australia_2026_R_00128,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.08348439811618427,australia_2026_R,true_negative
australia_2026_R_00129,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.6525738192512238,australia_2026_R,true_positive
australia_2026_R_00130,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.27174011915377366,australia_2026_R,other
australia_2026_R_00131,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.4792162342881793,australia_2026_R,other
australia_2026_R_00132,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.5923517826680409,australia_2026_R,true_positive
australia_2026_R_00133,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04845625174009631,australia_2026_R,true_negative
australia_2026_R_00135,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3364009035153166,australia_2026_R,other
australia_2026_R_00136,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.1106670452669084,australia_2026_R,true_negative
australia_2026_R_00137,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06688836443690833,australia_2026_R,true_negative
australia_2026_R_00138,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3055371200955567,australia_2026_R,other
australia_2026_R_00139,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.35355160466195135,australia_2026_R,other
australia_2026_R_00140,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.04287768330104067,australia_2026_R,true_negative
australia_2026_R_00142,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.23675371508737947,australia_2026_R,other
australia_2026_R_00143,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.6710788504075312,australia_2026_R,true_positive
australia_2026_R_00144,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.3358128710563427,australia_2026_R,other
australia_2026_R_00145,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.10927873666291987,australia_2026_R,true_negative
australia_2026_R_00146,australia_2026_R,Australian Grand Prix,1.0,gbdt,0.20928165134095608,australia_2026_R,other
australia_2026_R_00147,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.09573935247515862,australia_2026_R,true_negative
australia_2026_R_00149,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.06843410508123587,australia_2026_R,true_negative
australia_2026_R_00150,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.17317336476925774,australia_2026_R,true_negative
australia_2026_R_00151,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.0176518487528285,australia_2026_R,true_negative
australia_2026_R_00152,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.11427258388070002,australia_2026_R,true_negative
australia_2026_R_00153,australia_2026_R,Australian Grand Prix,0.0,gbdt,0.18895488211853903,australia_2026_R,true_negative
